Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,9/11/17,9/11/17,Exempt,"244,518.75"
City Manager,Executive City Manager,Intergovernmental Relations Of,Permanent Full-time,6/1/15,3/6/17,Exempt,"119,814.19"
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer I,Special Project w/ Retirement,4/8/24,4/8/24,Nonexempt,21.49
City Manager,City Manager-Citizen Services,Citizen Service Advisor III,Permanent Full-time,6/23/16,6/23/16,Nonexempt,"43,292.86"
City Manager,City Manager-Citizen Services,Citizen Service Advisor III,Permanent Full-time,8/8/16,8/8/16,Nonexempt,"41,774.67"
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,5/8/21,5/8/21,Nonexempt,25.32
City Manager,City Manager-Citizen Services,Citizen Service Mgr (CM only),Permanent Full-time,6/27/05,6/10/13,Exempt,"125,519.63"
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,4/6/24,4/6/24,Nonexempt,22.4
City Manager,City Manager-Citizen Services,Citizen Service Advisor Traine,Permanent Full-time,9/21/24,9/21/24,Nonexempt,"40,688.00"
City Manager,City Manager-Citizen Services,Applications Analyst,Permanent Full-time,12/16/23,12/16/23,Exempt,"68,301.72"
City Manager,City Manager-Citizen Services,Citizen Service Advisor Traine,Permanent Full-time,6/21/17,7/13/24,Nonexempt,"40,688.00"
City Manager,Executive City Manager,"Asst to the Cty Manager, Sr",Permanent Full-time,8/4/98,5/4/15,Exempt,"124,977.29"
City Manager,City Manager - Norfolk Arts,Multimedia Comm Specialist II,Permanent Full-time,7/10/89,11/23/10,Exempt,"57,331.48"
City Manager,City Manager-NCJS Adlt Com Sup,Administrative Technician,Special Project w/ Retirement,11/27/06,7/1/08,Nonexempt,19.96
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,9/7/21,9/7/21,Exempt,"244,518.75"
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,12/4/17,12/4/17,Nonexempt,25.67
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,8/24/99,8/24/99,Nonexempt,31.59
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,6/12/17,11/6/23,Exempt,"244,518.75"
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,4/10/21,1/16/24,Nonexempt,22.4
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,6/18/07,7/3/21,Exempt,"244,518.75"
City Manager,City Manager-Citizen Services,Citizen Service Advisor Traine,Permanent Full-time,9/21/24,9/21/24,Nonexempt,"40,688.00"
City Manager,Executive City Manager,Executive Specialist,Retiree Part-time,9/22/03,6/3/23,Nonexempt,76.07
City Manager,City Manager-Citizen Services,Program Supervisor,Permanent Full-time,12/18/13,8/24/24,Exempt,"54,601.00"
City Manager,Executive City Manager,Executive Specialist,Retiree Part-time,7/24/78,10/5/20,Nonexempt,70.52
City Manager,City Manager-NCJS Adlt Com Sup,Program Supervisor,Special Project w/ Retirement,10/7/99,9/21/24,Exempt,"72,938.10"
City Manager,City Manager-Citizen Services,Citizen Service Advisor I,Permanent Full-time,9/12/22,9/12/22,Nonexempt,"41,908.56"
City Manager,City Manager-Citizen Services,Citizen Service Advisor III,Permanent Full-time,4/22/02,10/8/13,Nonexempt,"47,005.23"
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,8/1/91,7/1/07,Nonexempt,30.07
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer I,Special Project w/ Retirement,5/4/24,5/4/24,Nonexempt,20.89
City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,1/31/05,7/23/08,Nonexempt,28.62
City Manager,City Manager-Citizen Services,Citizen Service Advisor Traine,Permanent Full-time,9/21/24,9/21/24,Nonexempt,"40,688.00"
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,1/28/14,5/11/15,Nonexempt,"64,949.61"
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,1/16/24,1/16/24,Exempt,"134,550.00"
City Attorney,Law,Deputy City Attorney II-LD,Permanent Full-time,10/3/89,5/15/96,Exempt,"185,483.39"
City Attorney,Law,Support Technician-LD,Permanent Full-time,1/22/19,8/16/21,Nonexempt,"44,931.42"
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,6/1/98,5/8/01,Exempt,"137,399.36"
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,8/24/24,8/24/24,Nonexempt,"46,589.00"
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,10/26/19,10/26/19,Exempt,"145,178.42"
City Attorney,Law,Assistant City Attorney I-LD,Permanent Full-time,9/13/10,7/15/23,Exempt,"97,807.50"
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,2/6/06,1/1/19,Exempt,"169,610.63"
City Attorney,Law,Assistant City Attorney II-LD,Permanent Full-time,4/15/13,4/15/13,Exempt,"131,076.54"
City Attorney,Law,Paralegal Claims Investg-LD,Permanent Full-time,7/13/24,7/13/24,Nonexempt,"62,400.00"
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,8/1/14,8/1/14,Exempt,"172,176.39"
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,8/1/14,1/22/19,Exempt,"145,643.13"
City Attorney,Law,Legal Coordinator II-LD,Permanent Full-time,4/2/90,5/15/96,Nonexempt,"92,125.35"
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,7/1/15,7/1/15,Exempt,"161,761.19"
City Attorney,Law,Assistant City Attorney I-LD,Permanent Full-time,5/20/23,5/20/23,Exempt,"97,807.50"
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,8/3/15,8/3/15,Nonexempt,"76,044.56"
City Attorney,Law,Legal Coordinator I-LD,Permanent Full-time,7/13/15,6/4/18,Nonexempt,"71,447.09"
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,10/24/20,10/24/20,Nonexempt,"57,291.39"
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,9/3/19,9/3/19,Exempt,"137,648.79"
City Attorney,Law,Legal Administrator-LD,Permanent Full-time,10/19/92,2/7/97,Exempt,"110,700.50"
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,2/9/15,9/23/23,Exempt,"134,550.00"
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,10/22/22,10/22/22,Nonexempt,"52,008.75"
City Attorney,Law,City Attorney,Permanent Full-time,10/8/84,11/18/97,Exempt,"259,811.98"
City Attorney,Law,Chief Deputy City Attorney-LD,Permanent Full-time,8/26/13,7/1/16,Exempt,"255,174.08"
City Attorney,Law,Assistant City Attorney II-LD,Permanent Full-time,6/27/14,8/17/19,Exempt,"124,142.04"
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,1/29/01,1/29/01,Exempt,"153,294.89"
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,2/19/02,2/19/02,Nonexempt,"63,310.79"
City Attorney,Law,Business Manager-LD,Permanent Full-time,1/14/74,5/15/96,Exempt,"93,580.95"
City Attorney,Law,Paralegal Specialist I-LD,Permanent Full-time,10/3/07,11/9/19,Nonexempt,"80,378.10"
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,10/15/18,10/15/18,Nonexempt,"62,380.48"
City Attorney,Law,Assistant City Attorney I-LD,Appointed by City Council,8/3/20,12/3/22,Exempt,"104,793.75"
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,8/20/07,8/20/07,Exempt,"140,919.39"
City Attorney,Law,Chief Deputy City Attorney-LD,Permanent Full-time,1/28/02,7/1/16,Exempt,"255,174.08"
City Attorney,Law,Deputy City Attorney II-LD,Permanent Full-time,6/1/99,6/29/01,Exempt,"153,714.06"
City Attorney,Law,Support Technician-LD,Permanent Full-time,11/20/17,9/7/21,Nonexempt,"45,966.42"
City Attorney,Law,Chief Deputy City Attorney-LD,Permanent Full-time,9/16/13,9/16/13,Exempt,"254,299.50"
Finance,Finance Purchasing,Procurement Spslt III (Fin Onl,Permanent Full-time,8/3/19,8/3/19,Exempt,"78,735.04"
Finance,Finance Purchasing,Procurement Spslt IV (Fin Only,Permanent Full-time,6/5/17,7/30/22,Exempt,"91,287.00"
Finance,Finance City Controller,Payroll Specialist (Fin Only),Permanent Full-time,1/3/23,1/3/23,Exempt,"53,577.32"
Finance,Finance Retirement Bureau,Sr Accountant IV (Fin only),Permanent Full-time,6/15/24,6/15/24,Exempt,"82,158.30"
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,12/20/21,12/20/21,Exempt,"57,331.48"
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,4/27/15,12/12/16,Exempt,"60,833.00"
Finance,Finance Purchasing,Procurement Spslt IV (Fin Only,Permanent Full-time,10/3/06,7/3/23,Exempt,"92,115.00"
Finance,Finance City Controller,Payroll Administrator (Fin Onl,Permanent Full-time,10/18/21,5/18/24,Exempt,"72,450.00"
Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,3/24/08,3/24/08,Exempt,"61,116.65"
Finance,Finance City Controller,Collection Coord,Permanent Full-time,1/8/18,9/26/22,Exempt,"60,175.25"
Finance,Finance - Director's Office,Business Manager,Permanent Full-time,2/4/02,9/12/22,Exempt,"72,268.88"
Finance,Finance - Director's Office,"Risk Analyst, Senior (Finance)",Permanent Full-time,3/13/21,3/13/21,Exempt,"88,853.00"
Finance,Finance - Director's Office,"Fiscal Sysms Mger, Sr (Fin Onl",Permanent Full-time,10/25/13,11/20/23,Exempt,"127,897.02"
Finance,Finance Purchasing,Administrative Assistant II,Permanent Full-time,9/12/83,4/16/15,Nonexempt,"56,739.70"
Finance,Finance Retirement Bureau,Management Analyst III,Permanent Full-time,12/17/18,3/28/22,Exempt,"77,593.95"
Finance,Finance - Director's Office,Debt Mgmt Spslt I (Fin Only),Permanent Full-time,8/29/22,8/29/22,Exempt,"70,638.75"
Finance,Finance City Controller,Customer Service Supervisor,Permanent Full-time,12/1/14,2/25/23,Exempt,"70,638.75"
Finance,Finance - Director's Office,Assistant Director,Permanent Full-time,4/17/17,7/6/21,Exempt,"142,635.94"
Finance,Finance - Director's Office,"Cash & Investments Analyst, Sr",Permanent Full-time,5/18/24,5/18/24,Exempt,"70,638.75"
Finance,Finance City Controller,Collection Coord,Permanent Full-time,5/6/23,5/6/23,Exempt,"59,771.25"
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,11/29/04,6/26/17,Exempt,"59,640.14"
Finance,Finance - Director's Office,Fiscal Sysms Manager (Fin Only,Permanent Full-time,8/14/17,7/29/24,Exempt,"101,043.30"
Finance,Finance City Controller,Accounts Receivable Manager,Permanent Full-time,3/17/14,3/17/14,Exempt,"101,397.98"
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,6/20/23,3/23/24,Exempt,"82,158.30"
Finance,Finance City Controller,City Controller (Finance only),Permanent Full-time,12/14/15,7/6/21,Exempt,"131,225.06"
Finance,Finance Purchasing,Procurement Spslt II (Fin Only,Permanent Full-time,10/11/21,10/11/21,Exempt,"62,988.03"
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,3/14/20,7/16/22,Exempt,"82,158.30"
Finance,Finance City Controller,Management Analyst III,Permanent Full-time,7/31/17,3/28/22,Exempt,"72,869.85"
Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,1/3/22,1/3/22,Exempt,"58,478.05"
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,7/27/19,8/27/22,Exempt,"85,210.52"
Finance,Finance Retirement Bureau,Exec Mgr Ret Sys(Finance only),Permanent Full-time,6/25/12,1/22/19,Exempt,"131,795.61"
Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,4/2/18,11/4/23,Exempt,"99,877.50"
Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,7/9/07,9/26/22,Exempt,"99,902.22"
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,5/18/24,7/15/24,Exempt,"82,158.30"
Finance,Finance Purchasing,Procurement Spslt II (Fin Only,Permanent Full-time,9/2/03,2/25/23,Exempt,"69,409.98"
Finance,Finance City Controller,Payroll Manager (Finance only),Permanent Full-time,6/23/15,10/15/22,Exempt,"104,328.00"
Finance,Finance - Director's Office,Director of Finance,Permanent Full-time,12/18/92,1/8/16,Exempt,"195,201.00"
Finance,Finance Retirement Bureau,Retirement Benefits Admin,Permanent Full-time,6/8/15,3/30/19,Exempt,"101,556.79"
Finance,Finance - Director's Office,Assistant Director,Permanent Full-time,10/26/09,6/20/16,Exempt,"152,850.38"
Finance,Finance Purchasing,Procurement Spslt II (Fin Only,Permanent Full-time,1/22/19,1/22/19,Exempt,"62,338.98"
Finance,Finance City Controller,Collection Coord,Permanent Full-time,5/10/23,5/10/23,Exempt,"59,771.25"
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,9/24/22,9/24/22,Exempt,"57,331.48"
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,5/18/24,5/18/24,Exempt,"82,158.30"
Finance,Finance City Controller,Payroll Specialist (Fin Only),Permanent Full-time,7/13/24,7/13/24,Exempt,"53,577.35"
Finance,Finance City Controller,Sr Accountant III (Fin only),Permanent Full-time,2/27/17,6/3/24,Exempt,"71,415.00"
Finance,Finance Purchasing,Procurement Spslt I (Fin Only),Casual Part-time,4/20/24,4/20/24,Nonexempt,22.77
Finance,Finance - Director's Office,Debt Manager (Fin Only),Permanent Full-time,2/19/14,8/21/23,Exempt,"119,025.00"
Finance,Finance City Controller,Sr Accountant III (Fin only),Permanent Full-time,6/15/24,6/15/24,Exempt,"71,415.00"
Finance,Finance Purchasing,Purchasing Agent,Permanent Full-time,6/25/18,6/25/18,Exempt,"130,839.92"
Finance,Finance City Controller,Payroll Administrator (Fin Onl,Permanent Full-time,5/29/18,10/24/22,Exempt,"78,246.00"
Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,8/7/17,9/14/20,Exempt,"99,902.22"
Finance,Finance - Director's Office,Risk Manager (Fin Only),Permanent Full-time,5/28/19,5/28/19,Exempt,"110,292.04"
Finance,Finance City Controller,Sr Accounting Mgr (Finance),Permanent Full-time,10/12/19,1/17/23,Exempt,"126,063.00"
Finance,Finance City Controller,Accounts Payable Manager,Permanent Full-time,6/15/09,2/2/15,Exempt,"115,249.84"
Finance,Finance Purchasing,Chief Prmt Ofr (Finance only),Permanent Full-time,4/30/18,4/30/18,Exempt,"152,850.38"
Finance,Finance Purchasing,Procurement Spslt III (Fin Onl,Permanent Full-time,1/17/23,1/17/23,Exempt,"73,899.00"
Human Resources,Human Resources,Emp Rel Anly I (HR only),Permanent Full-time,10/15/18,8/30/21,Exempt,"76,395.42"
Human Resources,Human Resources,Director of Human Resources,Permanent Full-time,5/22/17,5/22/17,Exempt,"179,419.32"
Human Resources,Human Resources,Emp Rel Anly II (HR only),Permanent Full-time,2/24/20,2/24/20,Exempt,"84,623.05"
Human Resources,Human Resources,Talent Acquisition Manager,Permanent Full-time,11/4/23,11/4/23,Exempt,"103,500.00"
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,5/13/23,5/13/23,Nonexempt,"52,164.00"
Human Resources,Human Resources,HR Admin Mgr (HR only),Permanent Full-time,2/3/92,7/20/19,Exempt,"104,328.00"
Human Resources,Human Resources,Municipal Intern III,Intermittent Temporary,6/3/24,8/24/24,Nonexempt,17.6
Human Resources,Human Resources,Tota Abnce Mgmt Spec (HR only),Permanent Full-time,12/30/23,12/30/23,Nonexempt,"46,588.80"
Human Resources,Human Resources,Management Analyst I,Special Project w/ Retirement,9/24/22,9/24/22,Exempt,"51,247.87"
Human Resources,Human Resources,Assistant Director,Permanent Full-time,4/20/15,4/18/22,Exempt,"143,777.03"
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,11/4/23,11/4/23,Exempt,"67,275.00"
Human Resources,Human Resources,Talent Acquisition Analyst Sr,Special Project w/ Retirement,7/27/24,7/27/24,Exempt,"80,000.00"
Human Resources,Human Resources,Org Dev Manager (HR only),Permanent Full-time,5/24/99,9/16/16,Exempt,"105,475.91"
Human Resources,Human Resources,Talent Acquisition Analyst Sr,Special Project w/ Retirement,6/15/24,6/15/24,Exempt,"87,975.00"
Human Resources,Human Resources,Talent Acquisition Analyst Sr,Permanent Full-time,6/27/16,8/14/23,Exempt,"94,907.10"
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,12/14/20,9/23/23,Exempt,"65,205.00"
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,9/18/23,9/18/23,Nonexempt,"52,164.00"
Human Resources,Human Resources,Emp Relations Mgr (HR only),Permanent Full-time,5/23/14,3/14/22,Exempt,"99,845.16"
Human Resources,Human Resources,Compensation Analyst I,Permanent Full-time,12/14/15,8/14/23,Exempt,"72,812.25"
Human Resources,Human Resources,Talent Acquisition Analyst II,Permanent Full-time,3/9/20,3/9/20,Exempt,"76,395.81"
Human Resources,Human Resources,Emp Rel Anly II (HR only),Permanent Full-time,10/4/21,10/4/21,Exempt,"79,876.13"
Human Resources,Human Resources,Total Abnce Mgmt Mgr (HR only),Permanent Full-time,6/5/21,9/23/23,Exempt,"104,328.00"
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,1/2/19,1/2/19,Nonexempt,"52,164.00"
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,3/14/22,3/14/22,Exempt,"71,888.51"
Human Resources,Human Resources,Talent Acquisition Analyst I,Permanent Full-time,7/1/23,7/1/23,Exempt,"67,275.00"
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,6/8/19,6/8/19,Nonexempt,"52,164.00"
Human Resources,Human Resources,City Safety Officer,Permanent Full-time,8/1/22,8/1/22,Exempt,"83,679.75"
Human Resources,Human Resources,Talent Acquisition Analyst II,Permanent Full-time,10/19/19,10/19/19,Exempt,"84,623.05"
Human Resources,Human Resources,Compensation Manager,Permanent Full-time,6/1/07,8/27/22,Exempt,"104,328.00"
Human Resources,Human Resources,Human Resources Spec (HR only),Permanent Full-time,1/21/20,1/21/20,Nonexempt,"52,164.00"
Human Resources,Human Resources,Org Dev Analyst I (HR only),Permanent Full-time,1/1/14,1/1/14,Exempt,"60,840.24"
Human Resources,Human Resources,Management Analyst III,Permanent Full-time,6/22/19,12/18/23,Exempt,"67,275.00"
Human Resources,Human Resources,"Projects Manager, Senior",Permanent Full-time,6/1/24,6/1/24,Exempt,"96,255.00"
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,6/21/22,6/21/22,Exempt,"71,888.51"
Human Resources,Human Resources,Compensation Analyst Senior,Permanent Full-time,5/30/17,6/10/24,Exempt,"87,975.00"
Human Resources,Human Resources,Management Analyst III,Permanent Full-time,10/31/22,10/31/22,Exempt,"70,638.75"
Human Resources,Human Resources,Management Analyst I,Permanent Full-time,11/4/23,11/4/23,Exempt,"51,246.99"
Human Resources,Human Resources,Org Dev Analyst I (HR only),Permanent Full-time,9/21/11,8/27/12,Exempt,"59,941.33"
Human Resources,Human Resources,Tota Abnc Mgmt Anl I (HR only),Permanent Full-time,4/25/22,4/25/22,Exempt,"71,888.51"
Human Resources,Human Resources,Programs Manager,Permanent Full-time,12/27/16,6/7/21,Exempt,"68,594.82"
Human Resources,Human Resources,Management Analyst II,Permanent Full-time,11/13/18,10/10/22,Exempt,"65,205.00"
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,9/28/19,9/28/19,Nonexempt,25.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,1/29/22,1/29/22,Nonexempt,25.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,6/5/79,8/24/24,Nonexempt,35.54
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,9/29/03,7/12/06,Nonexempt,32.33
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,12/8/14,12/8/14,Nonexempt,27.91
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,8/17/19,8/17/19,Nonexempt,25.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),State Comp Board Retirement,8/24/24,8/24/24,Nonexempt,22.31
Sheriff and Jail,Judicial - Sheriff and Jail,MicrocomputerSystemsAnalystSC,State Comp Board Retirement,8/23/08,5/20/23,Nonexempt,29.59
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,12/22/75,10/10/20,Exempt,"109,843.96"
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Colonel),State Comp Board Retirement,7/7/86,5/15/96,Exempt,"157,015.71"
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Recruit),State Comp Board Retirement,8/24/24,8/24/24,Nonexempt,22.31
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,5/21/22,5/21/22,Nonexempt,25.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,6/17/09,3/12/22,Nonexempt,25.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/28/16,5/25/19,Nonexempt,27.15
Sheriff and Jail,Judicial - Sheriff and Jail,Inmate Rehabilitation Coord,State Comp Board Retirement,10/29/21,9/24/22,Nonexempt,27.68
Sheriff and Jail,Judicial - Sheriff and Jail,Professional Std Office Analys,State Comp Board Retirement,9/21/24,9/21/24,Nonexempt,21.41
Sheriff and Jail,Judicial - Sheriff and Jail,Inmate Classification Manager,State Comp Board Retirement,11/23/01,11/23/01,Exempt,"79,853.42"
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/23/07,10/23/07,Nonexempt,33.29
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,7/23/15,7/23/15,Nonexempt,31.6
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,5/19/82,1/8/14,Nonexempt,39.97
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,8/23/14,8/23/14,Nonexempt,34.86
Sheriff and Jail,Judicial - Sheriff and Jail,HR Administrator - SC,State Comp Board Retirement,12/16/77,5/12/18,Exempt,32.79
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,7/8/06,5/21/15,Nonexempt,32.33
Sheriff and Jail,Judicial - Sheriff and Jail,Public Relations Assistant-SC,State Comp Board Retirement,1/8/16,1/8/16,Nonexempt,27.35
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),State Comp Board Retirement,5/15/06,5/12/15,Nonexempt,27.91
Sheriff and Jail,Judicial - Sheriff and Jail,Procurement Specialist - SC,State Comp Board Retirement,8/23/05,8/23/05,Nonexempt,30.2
Sheriff and Jail,Judicial - Sheriff and Jail,Info Tech Systems Director,State Comp Board Retirement,12/8/15,12/8/15,Exempt,"94,727.55"
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,7/6/19,7/6/19,Nonexempt,25.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,10/23/04,10/23/04,Nonexempt,36.61
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,2/25/23,2/25/23,Nonexempt,24.62
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,9/28/19,9/28/19,Nonexempt,25.23
Sheriff and Jail,Judicial - Sheriff and Jail,Education Programs Specialist,State Comp Board Retirement,1/26/04,2/16/19,Nonexempt,28.23
Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,4/8/08,4/8/08,Nonexempt,33.29
