Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,MOE,TotalPopulation,LocationID,CategoryID,MeasureID,DataValueTypeID,Short_Question_Text,Geolocation
2017-2021,VA,Virginia,Portsmouth city,51740,51740210500,5-year ACS,SDOH,Single-parent households,%,Percentage,24.2,11.6,1780,51740210500,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3363089 36.8384)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212000,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,13,6.6,1527,51740212000,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3093786 36.8227178)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211400,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,32.8,12.3,1639,51740211400,SDOH,BROAD,Percent,No broadband,POINT (-76.3348474 36.8295804)
2017-2021,VA,Virginia,Portsmouth city,51740,51740980100,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,0,5.7,680,51740980100,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.2972774 36.8112929)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212801,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,11.2,4,4999,51740212801,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3737687 36.8132649)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212702,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,25.7,5.6,2965,51740212702,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3552362 36.7939672)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211500,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,31.5,12.9,2088,51740211500,SDOH,POV150,Percent,Poverty,POINT (-76.343267 36.8277391)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212500,5-year ACS,SDOH,Single-parent households,%,Percentage,7.3,5.2,2582,51740212500,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3394521 36.7995549)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212300,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,46,11.9,4793,51740212300,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3139971 36.8033515)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210200,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,34.5,13.6,2276,51740210200,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3286962 36.8543454)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212100,5-year ACS,SDOH,Crowding among housing units,%,Percentage,9.8,8.8,1448,51740212100,SDOH,CROWD,Percent,Crowding,POINT (-76.3016128 36.8258099)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210600,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,8.3,5.2,1860,51740210600,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3236995 36.8416943)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210500,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,14.4,4.3,1780,51740210500,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3363089 36.8384)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213103,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,17.7,12.7,6707,51740213103,SDOH,BROAD,Percent,No broadband,POINT (-76.3861868 36.8801654)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211900,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,29.5,24.9,1353,51740211900,SDOH,BROAD,Percent,No broadband,POINT (-76.317906 36.8177357)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213002,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,21,4,4346,51740213002,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3806399 36.8521775)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211700,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,93.2,11.8,3097,51740211700,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3364381 36.8173967)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213104,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,3.4,11.7,4652,51740213104,SDOH,BROAD,Percent,No broadband,POINT (-76.4010834 36.8877373)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210300,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,48.6,14.3,2147,51740210300,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3484002 36.8456388)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210300,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,8.4,5.4,2147,51740210300,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3484002 36.8456388)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210200,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1.2,1.9,2276,51740210200,SDOH,CROWD,Percent,Crowding,POINT (-76.3286962 36.8543454)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211100,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,92,10.1,1610,51740211100,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3196526 36.8333734)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212801,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,47.6,13.4,4999,51740212801,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3737687 36.8132649)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213200,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,23.8,7.5,2811,51740213200,SDOH,POV150,Percent,Poverty,POINT (-76.309994 36.8481113)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212801,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,8,4.9,4999,51740212801,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3737687 36.8132649)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212600,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,37.4,13.8,1724,51740212600,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3460368 36.8079842)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211600,5-year ACS,SDOH,Single-parent households,%,Percentage,7.5,4.6,3918,51740211600,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3544639 36.826073)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211400,5-year ACS,SDOH,Crowding among housing units,%,Percentage,3.9,4.5,1639,51740211400,SDOH,CROWD,Percent,Crowding,POINT (-76.3348474 36.8295804)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212702,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,17.2,9.4,2965,51740212702,SDOH,POV150,Percent,Poverty,POINT (-76.3552362 36.7939672)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210900,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,47.5,9.7,3407,51740210900,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3017578 36.8379775)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211700,5-year ACS,SDOH,Single-parent households,%,Percentage,12.6,8.6,3097,51740211700,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3364381 36.8173967)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211900,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,5.6,6.9,1353,51740211900,SDOH,UNEMP,Percent,Unemployment,POINT (-76.317906 36.8177357)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211700,5-year ACS,SDOH,Crowding among housing units,%,Percentage,0,1.5,3097,51740211700,SDOH,CROWD,Percent,Crowding,POINT (-76.3364381 36.8173967)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210500,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,10.9,7.9,1780,51740210500,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3363089 36.8384)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212100,5-year ACS,SDOH,Single-parent households,%,Percentage,12.4,10.8,1448,51740212100,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3016128 36.8258099)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213002,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,3.1,2,4346,51740213002,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3806399 36.8521775)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212400,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,6,3.7,3871,51740212400,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3259368 36.8046487)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213001,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,9.4,4.6,5883,51740213001,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3692495 36.8988798)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213103,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,61,6.6,6707,51740213103,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3861868 36.8801654)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210300,5-year ACS,SDOH,Single-parent households,%,Percentage,12.8,9.2,2147,51740210300,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3484002 36.8456388)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213103,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,27.7,15.9,6707,51740213103,SDOH,POV150,Percent,Poverty,POINT (-76.3861868 36.8801654)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212701,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,38.5,10.3,5898,51740212701,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.369929 36.7979343)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211100,5-year ACS,SDOH,Crowding among housing units,%,Percentage,0,2.3,1610,51740211100,SDOH,CROWD,Percent,Crowding,POINT (-76.3196526 36.8333734)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213001,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,19.7,3.1,5883,51740213001,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3692495 36.8988798)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211400,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,96.1,8.1,1639,51740211400,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3348474 36.8295804)
2017-2021,VA,Virginia,Portsmouth city,51740,51740980100,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,,,680,51740980100,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.2972774 36.8112929)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212500,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,1.3,1.4,2582,51740212500,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3394521 36.7995549)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212000,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,58.8,18.7,1527,51740212000,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3093786 36.8227178)
2017-2021,VA,Virginia,Portsmouth city,51740,51740980100,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,,,680,51740980100,SDOH,UNEMP,Percent,Unemployment,POINT (-76.2972774 36.8112929)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212802,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,8.6,4,2147,51740212802,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3914981 36.8115839)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213200,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,10.2,2.9,2811,51740213200,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.309994 36.8481113)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213001,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,8.8,9.9,5883,51740213001,SDOH,BROAD,Percent,No broadband,POINT (-76.3692495 36.8988798)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212100,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,62.4,18.5,1448,51740212100,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3016128 36.8258099)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212400,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,0.5,0.7,3871,51740212400,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3259368 36.8046487)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211800,5-year ACS,SDOH,Crowding among housing units,%,Percentage,2.8,3.8,3655,51740211800,SDOH,CROWD,Percent,Crowding,POINT (-76.3208531 36.8253925)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213101,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,7.9,1.9,5092,51740213101,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.4034422 36.8684282)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210400,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,23.4,10.3,1430,51740210400,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3564991 36.840843)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213104,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,80.6,4.4,4652,51740213104,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.4010834 36.8877373)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211900,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,7.5,5.5,1353,51740211900,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.317906 36.8177357)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212500,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,30.1,6.1,2582,51740212500,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3394521 36.7995549)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212802,5-year ACS,SDOH,Single-parent households,%,Percentage,0,1.9,2147,51740212802,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3914981 36.8115839)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210600,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,15.2,9.5,1860,51740210600,SDOH,POV150,Percent,Poverty,POINT (-76.3236995 36.8416943)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211500,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,19.8,13.2,2088,51740211500,SDOH,BROAD,Percent,No broadband,POINT (-76.343267 36.8277391)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213101,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,47.8,11.1,5092,51740213101,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.4034422 36.8684282)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211800,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,92.7,27,3655,51740211800,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3208531 36.8253925)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210300,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,19.3,6.3,2147,51740210300,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3484002 36.8456388)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212100,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,28.2,18.1,1448,51740212100,SDOH,BROAD,Percent,No broadband,POINT (-76.3016128 36.8258099)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213101,5-year ACS,SDOH,Single-parent households,%,Percentage,7,5.1,5092,51740213101,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.4034422 36.8684282)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212000,5-year ACS,SDOH,Single-parent households,%,Percentage,18.9,8.6,1527,51740212000,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3093786 36.8227178)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213104,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,6.8,4,4652,51740213104,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.4010834 36.8877373)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212701,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,94.2,3,5898,51740212701,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.369929 36.7979343)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211400,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,24.2,7.2,1639,51740211400,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3348474 36.8295804)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212600,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,10.1,5.3,1724,51740212600,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3460368 36.8079842)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211500,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,2.8,3.1,2088,51740211500,SDOH,UNEMP,Percent,Unemployment,POINT (-76.343267 36.8277391)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210600,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,12.7,11.5,1860,51740210600,SDOH,BROAD,Percent,No broadband,POINT (-76.3236995 36.8416943)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212600,5-year ACS,SDOH,Single-parent households,%,Percentage,14.1,8.9,1724,51740212600,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3460368 36.8079842)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210500,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,16.8,13.4,1780,51740210500,SDOH,BROAD,Percent,No broadband,POINT (-76.3363089 36.8384)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211700,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,21.3,7.7,3097,51740211700,SDOH,POV150,Percent,Poverty,POINT (-76.3364381 36.8173967)
2017-2021,VA,Virginia,Portsmouth city,51740,51740980100,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,,,680,51740980100,SDOH,POV150,Percent,Poverty,POINT (-76.2972774 36.8112929)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213200,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,7.5,4.6,2811,51740213200,SDOH,UNEMP,Percent,Unemployment,POINT (-76.309994 36.8481113)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212801,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,37.1,15.8,4999,51740212801,SDOH,POV150,Percent,Poverty,POINT (-76.3737687 36.8132649)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212701,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,21.6,9.3,5898,51740212701,SDOH,POV150,Percent,Poverty,POINT (-76.369929 36.7979343)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212300,5-year ACS,SDOH,Crowding among housing units,%,Percentage,2.8,2.6,4793,51740212300,SDOH,CROWD,Percent,Crowding,POINT (-76.3139971 36.8033515)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212500,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,48.7,3.5,2582,51740212500,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3394521 36.7995549)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212900,5-year ACS,SDOH,Crowding among housing units,%,Percentage,0,1.2,5069,51740212900,SDOH,CROWD,Percent,Crowding,POINT (-76.3740821 36.8260773)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210200,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,26.8,10.2,2276,51740210200,SDOH,POV150,Percent,Poverty,POINT (-76.3286962 36.8543454)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213002,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,7.9,9.1,4346,51740213002,SDOH,BROAD,Percent,No broadband,POINT (-76.3806399 36.8521775)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212400,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,9.8,4.3,3871,51740212400,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3259368 36.8046487)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210900,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,6.8,2.4,3407,51740210900,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3017578 36.8379775)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212702,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,26.2,10,2965,51740212702,SDOH,BROAD,Percent,No broadband,POINT (-76.3552362 36.7939672)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212801,5-year ACS,SDOH,Crowding among housing units,%,Percentage,8.8,11.8,4999,51740212801,SDOH,CROWD,Percent,Crowding,POINT (-76.3737687 36.8132649)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213001,5-year ACS,SDOH,Single-parent households,%,Percentage,4.6,3.4,5883,51740213001,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3692495 36.8988798)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212600,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,8.4,3.9,1724,51740212600,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3460368 36.8079842)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212900,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,6.5,12.8,5069,51740212900,SDOH,BROAD,Percent,No broadband,POINT (-76.3740821 36.8260773)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211500,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,20.8,8.5,2088,51740211500,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.343267 36.8277391)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210500,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,97.3,7.1,1780,51740210500,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3363089 36.8384)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211700,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,18.8,13.5,3097,51740211700,SDOH,BROAD,Percent,No broadband,POINT (-76.3364381 36.8173967)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210500,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,54,14.5,1780,51740210500,SDOH,POV150,Percent,Poverty,POINT (-76.3363089 36.8384)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212100,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,24.1,17.4,1448,51740212100,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3016128 36.8258099)
