Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
7/1/2018,7/1/2018,Exempt,"25,000.00"
7/1/2016,7/1/2016,Exempt,"27,000.00"
6/21/1999,8/31/2016,Exempt,"25,000.00"
1/14/2021,1/14/2021,Exempt,"25,000.00"
7/24/1998,7/1/2010,Exempt,"25,000.00"
1/1/2023,1/1/2023,Exempt,"25,000.00"
7/1/2016,7/1/2016,Exempt,"25,000.00"
7/1/2014,7/1/2014,Exempt,"25,000.08"
7/26/2021,6/28/2023,Exempt,"305,459.55"
1/18/2022,1/18/2022,Nonexempt,"43,584.90"
10/4/2010,5/18/2015,Nonexempt,"42,119.45"
10/21/2023,10/21/2023,Nonexempt,"40,687.92"
11/6/2017,10/23/2023,Exempt,"244,518.75"
1/3/2023,12/31/2022,Exempt,"92,373.75"
9/21/2024,9/21/2024,Nonexempt,"40,688.00"
12/2/2023,8/24/2024,Nonexempt,19.56
1/22/2014,1/22/2014,Nonexempt,25.27
1/3/2006,1/3/2006,Exempt,"112,107.18"
4/20/2024,4/20/2024,Nonexempt,20.89
2/12/2001,2/18/2015,Exempt,"72,940.66"
3/5/2012,3/5/2012,Exempt,"81,247.42"
1/25/2010,5/4/2024,Exempt,"59,393.48"
11/21/1994,7/1/2007,Exempt,"97,476.43"
8/20/2018,11/8/2021,Exempt,"52,113.47"
3/12/2007,10/1/2013,Exempt,"64,326.39"
1/9/2006,4/11/2022,Exempt,"91,287.00"
9/11/2017,9/11/2017,Exempt,"244,518.75"
6/1/2015,3/6/2017,Exempt,"119,814.19"
4/8/2024,4/8/2024,Nonexempt,21.49
6/23/2016,6/23/2016,Nonexempt,"43,292.86"
8/8/2016,8/8/2016,Nonexempt,"41,774.67"
5/8/2021,5/8/2021,Nonexempt,25.32
6/27/2005,6/10/2013,Exempt,"125,519.63"
4/6/2024,4/6/2024,Nonexempt,22.4
9/21/2024,9/21/2024,Nonexempt,"40,688.00"
12/16/2023,12/16/2023,Exempt,"68,301.72"
6/21/2017,7/13/2024,Nonexempt,"40,688.00"
8/4/1998,5/4/2015,Exempt,"124,977.29"
7/10/1989,11/23/2010,Exempt,"57,331.48"
11/27/2006,7/1/2008,Nonexempt,19.96
9/7/2021,9/7/2021,Exempt,"244,518.75"
12/4/2017,12/4/2017,Nonexempt,25.67
8/24/1999,8/24/1999,Nonexempt,31.59
6/12/2017,11/6/2023,Exempt,"244,518.75"
4/10/2021,1/16/2024,Nonexempt,22.4
6/18/2007,7/3/2021,Exempt,"244,518.75"
9/21/2024,9/21/2024,Nonexempt,"40,688.00"
9/22/2003,6/3/2023,Nonexempt,76.07
12/18/2013,8/24/2024,Exempt,"54,601.00"
7/24/1978,10/5/2020,Nonexempt,70.52
10/7/1999,9/21/2024,Exempt,"72,938.10"
9/12/2022,9/12/2022,Nonexempt,"41,908.56"
4/22/2002,10/8/2013,Nonexempt,"47,005.23"
8/1/1991,7/1/2007,Nonexempt,30.07
5/4/2024,5/4/2024,Nonexempt,20.89
1/31/2005,7/23/2008,Nonexempt,28.62
9/21/2024,9/21/2024,Nonexempt,"40,688.00"
1/28/2014,5/11/2015,Nonexempt,"64,949.61"
1/16/2024,1/16/2024,Exempt,"134,550.00"
10/3/1989,5/15/1996,Exempt,"185,483.39"
1/22/2019,8/16/2021,Nonexempt,"44,931.42"
6/1/1998,5/8/2001,Exempt,"137,399.36"
8/24/2024,8/24/2024,Nonexempt,"46,589.00"
10/26/2019,10/26/2019,Exempt,"145,178.42"
9/13/2010,7/15/2023,Exempt,"97,807.50"
2/6/2006,1/1/2019,Exempt,"169,610.63"
4/15/2013,4/15/2013,Exempt,"131,076.54"
7/13/2024,7/13/2024,Nonexempt,"62,400.00"
8/1/2014,8/1/2014,Exempt,"172,176.39"
8/1/2014,1/22/2019,Exempt,"145,643.13"
4/2/1990,5/15/1996,Nonexempt,"92,125.35"
7/1/2015,7/1/2015,Exempt,"161,761.19"
5/20/2023,5/20/2023,Exempt,"97,807.50"
8/3/2015,8/3/2015,Nonexempt,"76,044.56"
7/13/2015,6/4/2018,Nonexempt,"71,447.09"
10/24/2020,10/24/2020,Nonexempt,"57,291.39"
9/3/2019,9/3/2019,Exempt,"137,648.79"
10/19/1992,2/7/1997,Exempt,"110,700.50"
2/9/2015,9/23/2023,Exempt,"134,550.00"
10/22/2022,10/22/2022,Nonexempt,"52,008.75"
10/8/1984,11/18/1997,Exempt,"259,811.98"
8/26/2013,7/1/2016,Exempt,"255,174.08"
6/27/2014,8/17/2019,Exempt,"124,142.04"
1/29/2001,1/29/2001,Exempt,"153,294.89"
2/19/2002,2/19/2002,Nonexempt,"63,310.79"
1/14/1974,5/15/1996,Exempt,"93,580.95"
10/3/2007,11/9/2019,Nonexempt,"80,378.10"
10/15/2018,10/15/2018,Nonexempt,"62,380.48"
8/3/2020,12/3/2022,Exempt,"104,793.75"
8/20/2007,8/20/2007,Exempt,"140,919.39"
1/28/2002,7/1/2016,Exempt,"255,174.08"
6/1/1999,6/29/2001,Exempt,"153,714.06"
11/20/2017,9/7/2021,Nonexempt,"45,966.42"
9/16/2013,9/16/2013,Exempt,"254,299.50"
8/3/2019,8/3/2019,Exempt,"78,735.04"
6/5/2017,7/30/2022,Exempt,"91,287.00"
1/3/2023,1/3/2023,Exempt,"53,577.32"
6/15/2024,6/15/2024,Exempt,"82,158.30"
12/20/2021,12/20/2021,Exempt,"57,331.48"
4/27/2015,12/12/2016,Exempt,"60,833.00"
10/3/2006,7/3/2023,Exempt,"92,115.00"
10/18/2021,5/18/2024,Exempt,"72,450.00"
3/24/2008,3/24/2008,Exempt,"61,116.65"
1/8/2018,9/26/2022,Exempt,"60,175.25"
2/4/2002,9/12/2022,Exempt,"72,268.88"
3/13/2021,3/13/2021,Exempt,"88,853.00"
10/25/2013,11/20/2023,Exempt,"127,897.02"
9/12/1983,4/16/2015,Nonexempt,"56,739.70"
12/17/2018,3/28/2022,Exempt,"77,593.95"
8/29/2022,8/29/2022,Exempt,"70,638.75"
12/1/2014,2/25/2023,Exempt,"70,638.75"
4/17/2017,7/6/2021,Exempt,"142,635.94"
5/18/2024,5/18/2024,Exempt,"70,638.75"
5/6/2023,5/6/2023,Exempt,"59,771.25"
11/29/2004,6/26/2017,Exempt,"59,640.14"
8/14/2017,7/29/2024,Exempt,"101,043.30"
3/17/2014,3/17/2014,Exempt,"101,397.98"
6/20/2023,3/23/2024,Exempt,"82,158.30"
12/14/2015,7/6/2021,Exempt,"131,225.06"
10/11/2021,10/11/2021,Exempt,"62,988.03"
3/14/2020,7/16/2022,Exempt,"82,158.30"
7/31/2017,3/28/2022,Exempt,"72,869.85"
1/3/2022,1/3/2022,Exempt,"58,478.05"
7/27/2019,8/27/2022,Exempt,"85,210.52"
6/25/2012,1/22/2019,Exempt,"131,795.61"
4/2/2018,11/4/2023,Exempt,"99,877.50"
7/9/2007,9/26/2022,Exempt,"99,902.22"
5/18/2024,7/15/2024,Exempt,"82,158.30"
9/2/2003,2/25/2023,Exempt,"69,409.98"
6/23/2015,10/15/2022,Exempt,"104,328.00"
12/18/1992,1/8/2016,Exempt,"195,201.00"
6/8/2015,3/30/2019,Exempt,"101,556.79"
10/26/2009,6/20/2016,Exempt,"152,850.38"
1/22/2019,1/22/2019,Exempt,"62,338.98"
5/10/2023,5/10/2023,Exempt,"59,771.25"
9/24/2022,9/24/2022,Exempt,"57,331.48"
5/18/2024,5/18/2024,Exempt,"82,158.30"
7/13/2024,7/13/2024,Exempt,"53,577.35"
2/27/2017,6/3/2024,Exempt,"71,415.00"
4/20/2024,4/20/2024,Nonexempt,22.77
2/19/2014,8/21/2023,Exempt,"119,025.00"
6/15/2024,6/15/2024,Exempt,"71,415.00"
6/25/2018,6/25/2018,Exempt,"130,839.92"
5/29/2018,10/24/2022,Exempt,"78,246.00"
8/7/2017,9/14/2020,Exempt,"99,902.22"
5/28/2019,5/28/2019,Exempt,"110,292.04"
10/12/2019,1/17/2023,Exempt,"126,063.00"
6/15/2009,2/2/2015,Exempt,"115,249.84"
4/30/2018,4/30/2018,Exempt,"152,850.38"
1/17/2023,1/17/2023,Exempt,"73,899.00"
10/15/2018,8/30/2021,Exempt,"76,395.42"
5/22/2017,5/22/2017,Exempt,"179,419.32"
2/24/2020,2/24/2020,Exempt,"84,623.05"
11/4/2023,11/4/2023,Exempt,"103,500.00"
5/13/2023,5/13/2023,Nonexempt,"52,164.00"
2/3/1992,7/20/2019,Exempt,"104,328.00"
6/3/2024,8/24/2024,Nonexempt,17.6
12/30/2023,12/30/2023,Nonexempt,"46,588.80"
9/24/2022,9/24/2022,Exempt,"51,247.87"
4/20/2015,4/18/2022,Exempt,"143,777.03"
11/4/2023,11/4/2023,Exempt,"67,275.00"
7/27/2024,7/27/2024,Exempt,"80,000.00"
5/24/1999,9/16/2016,Exempt,"105,475.91"
6/15/2024,6/15/2024,Exempt,"87,975.00"
6/27/2016,8/14/2023,Exempt,"94,907.10"
12/14/2020,9/23/2023,Exempt,"65,205.00"
9/18/2023,9/18/2023,Nonexempt,"52,164.00"
5/23/2014,3/14/2022,Exempt,"99,845.16"
12/14/2015,8/14/2023,Exempt,"72,812.25"
3/9/2020,3/9/2020,Exempt,"76,395.81"
10/4/2021,10/4/2021,Exempt,"79,876.13"
6/5/2021,9/23/2023,Exempt,"104,328.00"
1/2/2019,1/2/2019,Nonexempt,"52,164.00"
3/14/2022,3/14/2022,Exempt,"71,888.51"
7/1/2023,7/1/2023,Exempt,"67,275.00"
6/8/2019,6/8/2019,Nonexempt,"52,164.00"
8/1/2022,8/1/2022,Exempt,"83,679.75"
10/19/2019,10/19/2019,Exempt,"84,623.05"
6/1/2007,8/27/2022,Exempt,"104,328.00"
1/21/2020,1/21/2020,Nonexempt,"52,164.00"
1/1/2014,1/1/2014,Exempt,"60,840.24"
6/22/2019,12/18/2023,Exempt,"67,275.00"
6/1/2024,6/1/2024,Exempt,"96,255.00"
6/21/2022,6/21/2022,Exempt,"71,888.51"
5/30/2017,6/10/2024,Exempt,"87,975.00"
10/31/2022,10/31/2022,Exempt,"70,638.75"
11/4/2023,11/4/2023,Exempt,"51,246.99"
9/21/2011,8/27/2012,Exempt,"59,941.33"
4/25/2022,4/25/2022,Exempt,"71,888.51"
12/27/2016,6/7/2021,Exempt,"68,594.82"
11/13/2018,10/10/2022,Exempt,"65,205.00"
9/28/2019,9/28/2019,Nonexempt,25.23
1/29/2022,1/29/2022,Nonexempt,25.23
6/5/1979,8/24/2024,Nonexempt,35.54
9/29/2003,7/12/2006,Nonexempt,32.33
12/8/2014,12/8/2014,Nonexempt,27.91
8/17/2019,8/17/2019,Nonexempt,25.23
8/24/2024,8/24/2024,Nonexempt,22.31
8/23/2008,5/20/2023,Nonexempt,29.59
12/22/1975,10/10/2020,Exempt,"109,843.96"
7/7/1986,5/15/1996,Exempt,"157,015.71"
8/24/2024,8/24/2024,Nonexempt,22.31
5/21/2022,5/21/2022,Nonexempt,25.23
6/17/2009,3/12/2022,Nonexempt,25.23
11/28/2016,5/25/2019,Nonexempt,27.15
10/29/2021,9/24/2022,Nonexempt,27.68
9/21/2024,9/21/2024,Nonexempt,21.41
11/23/2001,11/23/2001,Exempt,"79,853.42"
10/23/2007,10/23/2007,Nonexempt,33.29
7/23/2015,7/23/2015,Nonexempt,31.6
5/19/1982,1/8/2014,Nonexempt,39.97
8/23/2014,8/23/2014,Nonexempt,34.86
12/16/1977,5/12/2018,Exempt,32.79
7/8/2006,5/21/2015,Nonexempt,32.33
1/8/2016,1/8/2016,Nonexempt,27.35
5/15/2006,5/12/2015,Nonexempt,27.91
8/23/2005,8/23/2005,Nonexempt,30.2
12/8/2015,12/8/2015,Exempt,"94,727.55"
7/6/2019,7/6/2019,Nonexempt,25.23
10/23/2004,10/23/2004,Nonexempt,36.61
2/25/2023,2/25/2023,Nonexempt,24.62
9/28/2019,9/28/2019,Nonexempt,25.23
1/26/2004,2/16/2019,Nonexempt,28.23
4/8/2008,4/8/2008,Nonexempt,33.29
7/8/2007,6/23/2010,Nonexempt,30.04
2/23/1998,6/23/2007,Exempt,"109,843.96"
4/20/2024,4/20/2024,Nonexempt,22.38
11/8/2015,11/8/2015,Nonexempt,27.91
2/16/1999,8/30/1999,Exempt,"91,608.64"
7/13/2024,7/13/2024,Nonexempt,22.31
5/8/2016,5/8/2016,Nonexempt,30.18
8/23/1998,9/28/2019,Nonexempt,27.91
10/8/2022,3/23/2024,Nonexempt,25.23
9/1/1982,2/1/2020,Nonexempt,26.45
5/11/2012,7/8/2013,Nonexempt,32.39
4/8/2015,4/8/2015,Nonexempt,27.91
1/1/1994,7/15/2023,Nonexempt,24.59
10/21/2023,10/21/2023,Nonexempt,31.33
7/23/2007,7/23/2007,Nonexempt,39.97
11/23/2002,11/23/2002,Nonexempt,34.79
7/8/2008,7/8/2008,Nonexempt,39.97
2/25/2023,2/25/2023,Nonexempt,24.62
10/10/2020,11/18/2023,Nonexempt,25.23
9/23/2009,8/13/2022,Nonexempt,21.66
11/24/2018,11/24/2018,Nonexempt,26.49
11/19/2022,11/19/2022,Nonexempt,24.62
11/23/2008,11/23/2008,Nonexempt,33.29
8/13/2022,8/13/2022,Exempt,"96,731.62"
7/2/2012,7/8/2013,Nonexempt,30.04
5/8/2014,5/8/2014,Nonexempt,27.91
7/13/2024,7/13/2024,Nonexempt,22.31
5/8/2008,10/12/2017,Nonexempt,30.04
10/13/2018,10/13/2018,Nonexempt,30.94
4/8/2015,4/8/2015,Nonexempt,30.94
10/10/2020,4/23/2022,Nonexempt,25.23
7/26/1971,1/15/2015,Nonexempt,24.84
11/23/2007,11/23/2007,Exempt,"94,313.34"
6/20/1994,5/15/1996,Exempt,"133,019.30"
10/28/1996,10/28/1996,Nonexempt,37.45
11/15/1995,5/15/1996,Exempt,"112,590.06"
3/12/2022,3/12/2022,Nonexempt,25.23
4/10/2021,4/10/2021,Exempt,"76,753.53"
12/8/2013,8/26/2023,Nonexempt,28.51
2/1/1988,4/22/2017,Nonexempt,29.43
9/29/2003,9/29/2003,Nonexempt,36.61
7/13/2024,7/13/2024,Nonexempt,24.62
8/23/2016,8/23/2016,Nonexempt,27.91
7/24/1995,5/15/1996,Nonexempt,32.16
1/8/2015,1/8/2015,Nonexempt,27.91
1/8/2004,1/8/2004,Exempt,"104,613.08"
7/23/2014,7/23/2014,Nonexempt,34.01
7/8/2015,7/8/2015,Nonexempt,27.91
1/8/2004,8/23/2015,Nonexempt,39.4
9/7/2021,4/20/2024,Nonexempt,24.62
12/9/2017,12/9/2017,Nonexempt,27.23
10/30/2021,10/30/2021,Nonexempt,21.26
12/8/2000,12/8/2000,Nonexempt,39.4
10/30/2021,10/30/2021,Nonexempt,25.23
9/15/2018,9/15/2018,Nonexempt,27.23
11/19/2022,11/19/2022,Nonexempt,24.62
8/13/1996,9/25/2021,Nonexempt,20.65
8/23/2016,8/23/2016,Nonexempt,31.6
7/8/2003,7/8/2003,Nonexempt,34.13
10/8/1980,8/18/2018,Nonexempt,32.33
8/24/2024,8/24/2024,Nonexempt,22.31
5/26/2018,5/26/2018,Nonexempt,27.23
5/8/2008,5/8/2008,Nonexempt,36.61
8/28/2021,8/28/2021,Nonexempt,25.23
7/15/2023,7/15/2023,Nonexempt,24.01
9/4/1980,7/8/2017,Nonexempt,24.92
5/21/2022,5/21/2022,Nonexempt,25.23
1/16/2021,1/16/2021,Nonexempt,25.23
6/8/2013,6/8/2013,Nonexempt,27.91
8/23/2015,8/23/2015,Nonexempt,30.94
1/29/2022,1/29/2022,Nonexempt,25.23
10/16/1972,9/15/2018,Nonexempt,25.23
2/6/2017,2/6/2017,Nonexempt,27.91
8/18/2018,8/18/2018,Nonexempt,27.23
8/17/2019,8/17/2019,Nonexempt,25.23
1/22/2001,1/22/2001,Nonexempt,40.38
5/20/2023,5/20/2023,Nonexempt,22.43
9/23/2023,9/23/2023,Nonexempt,24.01
11/8/2002,1/19/2019,Nonexempt,34.13
9/21/2024,9/21/2024,Nonexempt,19.82
12/4/2021,12/4/2021,Nonexempt,25.23
8/23/2012,8/23/2012,Nonexempt,27.91
5/8/2005,5/8/2005,Nonexempt,39.4
6/8/2007,6/8/2007,Nonexempt,33.29
2/8/2013,2/8/2013,Nonexempt,22.84
5/21/2022,5/21/2022,Nonexempt,25.23
12/4/2021,12/4/2021,Nonexempt,25.23
11/8/2014,11/8/2014,Nonexempt,22.27
8/23/2013,8/23/2013,Nonexempt,27.91
9/5/2002,12/8/2007,Nonexempt,36.61
4/20/2024,4/20/2024,Nonexempt,22.38
8/26/2023,9/23/2023,Nonexempt,24.01
12/5/2020,2/7/2024,Nonexempt,25.23
5/8/2012,3/9/2017,Nonexempt,31.6
9/8/2000,12/2/2023,Nonexempt,24.62
8/23/1998,9/28/2019,Nonexempt,27.91
4/20/2024,4/20/2024,Nonexempt,25.23
12/8/2005,12/8/2005,Nonexempt,34.13
9/23/2009,9/23/2009,Nonexempt,33.29
7/2/2012,2/1/2020,Nonexempt,31.71
7/8/2015,7/8/2015,Nonexempt,22.27
9/3/2002,1/8/2016,Nonexempt,32.39
12/5/2020,12/5/2020,Nonexempt,25.23
1/18/2020,1/18/2020,Nonexempt,25.23
7/16/2022,7/16/2022,Nonexempt,25.23
9/1/1988,5/8/2010,Nonexempt,24.36
9/3/1985,2/1/2017,Exempt,"205,970.38"
1/29/2022,1/29/2022,Nonexempt,25.23
3/8/2006,3/8/2006,Nonexempt,32.33
5/23/1998,5/23/1998,Nonexempt,32.45
3/23/2024,3/23/2024,Nonexempt,22.38
3/13/2017,3/13/2017,Nonexempt,27.91
11/24/2018,11/24/2018,Nonexempt,26.49
9/23/2023,9/23/2023,Nonexempt,24.01
9/21/2024,9/21/2024,Nonexempt,22.31
5/4/2016,5/25/2019,Nonexempt,25.59
11/14/1985,1/19/2019,Exempt,"105,466.74"
10/8/2002,9/8/2016,Nonexempt,23.89
1/16/1990,4/20/2024,Nonexempt,30.69
7/23/2010,7/8/2013,Nonexempt,31.71
11/9/2005,11/9/2005,Nonexempt,34.13
10/30/2021,10/30/2021,Nonexempt,25.23
1/23/2009,1/23/2009,Nonexempt,33.29
3/23/2014,3/23/2014,Nonexempt,30.94
10/23/2003,10/23/2003,Nonexempt,36.61
8/27/2022,8/27/2022,Nonexempt,25.23
9/3/2013,9/3/2013,Nonexempt,27.91
1/27/1992,2/25/2023,Nonexempt,30.69
10/8/1994,6/23/2008,Nonexempt,42.4
4/8/2023,4/8/2023,Nonexempt,26.49
2/25/2023,2/25/2023,Nonexempt,24.62
4/20/2024,4/20/2024,Nonexempt,25.23
8/23/2016,8/23/2016,Nonexempt,27.91
2/23/2016,2/23/2016,Nonexempt,22.92
7/15/2023,7/15/2023,Nonexempt,21.4
8/8/2006,8/8/2006,Nonexempt,33.29
3/23/1999,3/23/1999,Nonexempt,36.73
8/8/1997,8/8/1997,Nonexempt,45.16
8/1/1995,5/15/1996,Nonexempt,39.53
8/21/1978,9/25/2021,Nonexempt,20.65
11/27/2006,11/27/2006,Nonexempt,33.29
7/10/1995,8/24/2024,Nonexempt,30.69
9/25/2021,9/25/2021,Nonexempt,25.23
4/14/2018,2/16/2019,Nonexempt,27.23
8/8/1998,7/23/2008,Nonexempt,46.29
9/29/2003,11/28/2005,Exempt,"117,709.31"
5/23/1996,8/26/2023,Nonexempt,29.22
11/19/2022,11/19/2022,Nonexempt,27.07
7/13/2024,7/13/2024,Nonexempt,22.31
4/8/2004,1/19/2019,Nonexempt,31.6
12/2/2023,12/2/2023,Nonexempt,24.01
12/4/2021,12/4/2021,Nonexempt,25.23
3/8/2013,3/8/2013,Nonexempt,27.91
9/29/1980,11/19/2022,Nonexempt,33.03
5/20/2023,5/20/2023,Nonexempt,20.65
7/8/2010,2/1/2020,Nonexempt,31.71
10/28/1996,6/3/2023,Nonexempt,25.23
1/8/2007,1/8/2007,Nonexempt,33.29
10/30/2021,10/30/2021,Nonexempt,23.79
9/3/2002,8/28/2021,Exempt,"73,223.59"
7/11/1989,12/8/2007,Nonexempt,40.29
10/28/1996,12/5/2016,Nonexempt,26.49
7/8/1994,1/23/1997,Nonexempt,46.29
7/16/2022,7/16/2022,Nonexempt,25.23
4/13/2019,4/13/2019,Nonexempt,26.49
4/20/2024,4/20/2024,Nonexempt,22.38
7/21/2018,7/21/2018,Nonexempt,27.23
2/23/1998,2/23/1998,Nonexempt,36.73
1/14/2023,1/14/2023,Nonexempt,27.25
10/12/1971,8/2/2004,Exempt,"85,915.96"
11/8/2016,2/24/2024,Nonexempt,28.33
1/27/2024,1/27/2024,Nonexempt,22.38
4/20/2024,4/20/2024,Nonexempt,27.15
4/8/2023,4/8/2023,Nonexempt,24.01
3/12/2022,3/12/2022,Nonexempt,25.23
2/13/2017,1/18/2020,Nonexempt,25.23
10/23/2011,10/23/2011,Nonexempt,31.71
8/8/2011,8/8/2011,Nonexempt,31.71
6/23/2018,6/23/2018,Nonexempt,27.23
3/31/2018,3/31/2018,Nonexempt,27.23
5/6/1996,8/24/2024,Nonexempt,25.23
2/23/2009,2/23/2009,Nonexempt,48.61
8/1/2020,11/18/2023,Nonexempt,25.23
2/25/2023,2/25/2023,Nonexempt,26.59
1/29/2022,1/29/2022,Nonexempt,25.23
9/23/2006,6/24/2017,Nonexempt,37.52
7/23/2009,7/23/2009,Nonexempt,33.29
8/24/2024,8/24/2024,Nonexempt,25.23
3/13/2021,3/13/2021,Nonexempt,25.23
2/8/2003,2/8/2003,Nonexempt,24.49
7/22/2017,7/22/2017,Nonexempt,30.94
12/18/1998,10/8/2022,Nonexempt,21.26
6/1/2024,6/1/2024,Nonexempt,22.38
1/1/1978,4/6/2024,Nonexempt,24.49
1/7/1972,1/15/2015,Nonexempt,24.84
10/23/2007,10/23/2007,Nonexempt,30.04
1/8/1999,1/8/1999,Nonexempt,36.73
2/1/1988,8/21/2017,Nonexempt,23.43
7/16/2022,7/16/2022,Nonexempt,25.23
11/24/2018,11/24/2018,Nonexempt,26.49
8/28/2021,8/28/2021,Nonexempt,25.23
3/23/2007,3/23/2007,Nonexempt,36.61
10/8/2010,10/8/2010,Nonexempt,31.71
10/23/2006,10/23/2006,Nonexempt,33.29
4/23/1997,8/1/1997,Nonexempt,27.1
12/9/2017,12/9/2017,Nonexempt,27.23
5/8/2012,5/8/2012,Nonexempt,36.61
1/20/2018,1/20/2018,Nonexempt,27.23
12/4/2021,12/4/2021,Nonexempt,25.23
4/8/2023,4/8/2023,Nonexempt,24.62
8/28/2021,8/28/2021,Nonexempt,27.15
8/23/2013,2/23/2015,Nonexempt,27.91
12/2/2023,12/2/2023,Nonexempt,29.89
6/23/2014,11/9/2019,Nonexempt,27.91
8/23/2015,8/23/2015,Nonexempt,27.91
6/8/2013,6/8/2013,Nonexempt,36.61
8/23/2010,8/23/2010,Nonexempt,31.71
4/8/2009,7/1/2020,Nonexempt,33.99
10/23/2006,2/8/2011,Nonexempt,32.39
2/23/2016,1/14/2023,Nonexempt,27.15
7/23/2011,6/1/2019,Exempt,"94,830.94"
3/28/2005,2/25/2023,Nonexempt,29.2
6/28/1988,10/23/2009,Nonexempt,23.43
5/25/2019,1/14/2023,Nonexempt,26.92
6/24/2017,7/13/2024,Nonexempt,27.15
6/23/2006,6/23/2006,Nonexempt,33.29
6/21/2017,12/2/2023,Nonexempt,24.01
8/23/2002,8/23/2002,Nonexempt,34.13
6/1/2024,6/1/2024,Nonexempt,22.38
4/28/2018,4/28/2018,Nonexempt,27.23
3/2/1970,5/30/2006,Nonexempt,26.33
1/8/2012,1/8/2012,Nonexempt,38.99
6/23/2018,6/23/2018,Nonexempt,27.23
3/12/2022,3/12/2022,Nonexempt,25.23
11/8/2016,11/8/2016,Nonexempt,27.91
9/23/2009,9/23/2009,Nonexempt,34.01
5/8/2008,5/8/2008,Nonexempt,33.29
10/30/2021,10/30/2021,Nonexempt,25.23
12/21/2020,4/10/2021,Nonexempt,25.23
4/20/2024,4/20/2024,Nonexempt,24.62
3/8/2008,3/8/2008,Nonexempt,33.29
11/9/2019,11/9/2019,Nonexempt,25.23
1/22/2001,6/23/2010,Nonexempt,36.73
11/25/2017,11/25/2017,Nonexempt,27.23
11/8/2013,11/8/2013,Nonexempt,36.01
7/8/2014,7/2/2018,Nonexempt,27.91
9/23/2014,9/23/2014,Nonexempt,32.39
3/8/2008,6/23/2010,Nonexempt,33.29
7/15/2023,7/15/2023,Nonexempt,24.01
2/6/1989,7/6/2019,Nonexempt,28.51
8/25/1997,1/19/2019,Nonexempt,21.91
7/8/2008,7/8/2008,Nonexempt,37.52
8/17/2019,8/17/2019,Nonexempt,28.51
7/21/2018,7/21/2018,Nonexempt,27.23
10/19/1985,7/23/2011,Nonexempt,31.71
4/13/2019,4/13/2019,Nonexempt,26.49
11/13/1993,5/15/1996,Exempt,"123,595.17"
4/20/2024,4/20/2024,Nonexempt,25.23
2/23/1988,1/4/2021,Nonexempt,26.16
11/19/2022,11/19/2022,Nonexempt,24.62
7/23/2008,6/23/2010,Nonexempt,34.01
7/3/2021,4/23/2022,Nonexempt,25.23
5/8/1999,5/8/1999,Nonexempt,45.16
7/21/2018,7/21/2018,Nonexempt,31.54
7/2/2012,6/1/2019,Nonexempt,38.99
5/8/2006,5/8/2006,Nonexempt,39.4
12/9/2017,12/9/2017,Nonexempt,27.23
11/20/2000,8/23/2009,Exempt,"92,517.80"
5/21/2022,5/21/2022,Nonexempt,25.23
3/12/2022,3/12/2022,Nonexempt,25.23
11/9/2005,11/9/2005,Nonexempt,32.33
9/8/2002,10/8/2003,Nonexempt,40.38
11/8/2002,11/8/2002,Nonexempt,34.13
7/23/2005,7/23/2005,Nonexempt,41.96
1/27/2024,1/27/2024,Nonexempt,22.38
7/15/2023,7/15/2023,Nonexempt,24.01
5/23/2006,5/6/2023,Nonexempt,30.57
1/2/1996,3/23/2014,Nonexempt,31.6
8/27/2022,8/27/2022,Nonexempt,25.23
12/9/2017,12/9/2017,Nonexempt,27.23
8/8/2008,8/8/2008,Nonexempt,22.79
3/8/2000,6/23/2008,Exempt,"109,843.96"
10/8/2006,10/8/2006,Nonexempt,33.29
9/8/2012,9/8/2012,Nonexempt,27.91
5/21/2015,5/21/2015,Nonexempt,27.91
1/8/2004,1/8/2004,Nonexempt,34.13
1/18/2020,1/18/2020,Nonexempt,25.23
12/23/2001,12/23/2001,Nonexempt,34.82
10/8/2008,10/8/2008,Nonexempt,34.01
6/8/2002,6/8/2002,Nonexempt,34.13
2/23/2015,2/23/2015,Nonexempt,27.91
2/17/2018,8/26/2023,Nonexempt,27.15
6/23/2018,6/23/2018,Nonexempt,27.23
12/2/2023,1/27/2024,Nonexempt,22.38
7/8/2002,10/13/2017,Nonexempt,26.76
2/23/2009,2/23/2009,Nonexempt,33.29
7/2/2012,7/8/2013,Nonexempt,30.04
4/28/2018,12/17/2022,Nonexempt,22.35
9/9/2017,9/9/2017,Nonexempt,27.23
5/21/2007,7/17/2021,Nonexempt,20.65
4/23/2004,4/23/2004,Nonexempt,34.13
8/23/2012,8/23/2012,Nonexempt,37.13
12/8/2003,12/8/2003,Nonexempt,43.01
7/13/2024,7/13/2024,Nonexempt,22.31
10/13/2018,10/13/2018,Nonexempt,26.49
10/28/1996,10/28/1996,Exempt,"112,590.06"
6/23/2013,6/23/2013,Nonexempt,31.71
5/23/2006,5/23/2006,Nonexempt,33.29
3/8/2000,3/8/2000,Exempt,"109,843.96"
9/23/2000,9/23/2000,Nonexempt,36.73
7/23/2008,8/2/2017,Nonexempt,30.04
7/25/2005,7/25/2005,Nonexempt,23.41
10/10/2020,11/18/2023,Nonexempt,25.23
4/23/2009,4/23/2009,Nonexempt,27.1
4/23/2002,4/23/2002,Nonexempt,34.13
1/23/2006,1/23/2006,Nonexempt,27.12
